stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
Heide(Holst),,315236,54.192932,9.101242,1,
Heide(Holst),315236,665142,54.19317,9.100833,,
Heide(Holst),315236,87458,54.19306,9.101122,,
Heidelberg Hbf,224837,506325,49.40357,8.675442,,
"Heidelberg, Hauptbahnhof",,224837,49.404316,8.676243,1,
Helmstedt,55321,156304,52.222088,11.010553,,
"Helmstedt, Bahnhof",,55321,52.22207,11.010093,1,
Hengelo,,663958,52.261852,6.793726,1,
Hengelo,663958,198176,52.261852,6.793726,,
Herford,37967,420189,52.11961,8.663643,,
"Herford, Bahnhof/ZOB",,37967,52.119244,8.664628,1,
Hermsdorf-Klosterlausnitz,,61559,50.90385,11.858619,1,
Hermsdorf-Klosterlausnitz,61559,87717,50.903778,11.858626,,
Herne Wanne-Eickel Hbf,,259551,51.53249,7.165502,1,
Herne-Wanne-Eickel Hbf,259551,533360,51.531258,7.165783,,
Herrenberg,,395282,48.593956,8.862626,1,
Herrenberg,395282,311846,48.59399,8.862662,,
Herzogenrath,,272327,50.870914,6.094486,1,
Herzogenrath,272327,79529,50.870914,6.094486,,
Hildesheim Hauptbahnhof,,385791,52.159668,9.952588,1,
Hildesheim Hbf,385791,479164,52.160625,9.953497,,
Hilversum,,8191,52.22667,5.181399,1,
Hilversum,8191,223851,52.22667,5.181399,,
Hnevice,,468505,50.452686,14.361715,1,
Hnevice,468505,592599,50.452686,14.361715,,
Hochfilzen,,85913,47.467712,12.626525,1,
Hochfilzen,85913,339425,47.467712,12.626525,,
Hoeje Taastrup st,,640226,55.64862,12.268799,1,
Hoeje Taastrup st,640226,299361,55.64862,12.268799,,
Hohenems,,1396,47.364708,9.681001,1,
Hohenems,1396,329875,47.364708,9.681001,,
Holzwickede,631833,30350,51.50477,7.619647,,
"Holzwickede, Bahnhof",,631833,51.50491,7.619573,1,
Homburg (Saar) Hbf,,264495,49.32808,7.337035,1,
Homburg(Saar)Hbf,264495,435968,49.327637,7.336362,,5
Homburg(Saar)Hbf,264495,672865,49.327606,7.336528,,4
Hopfgarten im Brixental,,303152,47.455353,12.14918,1,
Hopfgarten im Brixental,303152,564105,47.455353,12.14918,,
Horb,662867,203781,48.44147,8.688982,,
Horb Bahnhof/ZOB,,662867,48.44154,8.688676,1,
Horka(Gr),,534628,51.2862,15.032184,1,
Horka(Gr),534628,466346,51.2862,15.032184,,
Hoyerswerda,41881,189,51.43279,14.231407,,
Hoyerswerda Bahnhof,,41881,51.433025,14.231129,1,
Hude,678478,185042,53.10943,8.460956,,
Hude(Oldb),,678478,53.10937,8.460953,1,
Husum,,107304,54.472015,9.056272,1,
Husum,107304,642326,54.472084,9.055953,,
Immenstadt,,429909,47.559204,10.213997,1,
Immenstadt,429909,410217,47.559204,10.213999,,
Imst-Pitztal,,187864,47.219074,10.76167,1,
Imst-Pitztal,187864,422231,47.219074,10.76167,,
Ingolstadt Hbf,,468892,48.74455,11.437341,1,
Ingolstadt Hbf,468892,87315,48.74454,11.437337,,
Innsbruck Hauptbahnhof,,16886,47.263233,11.401031,1,
